OPERAÇÃO ARTISTAS - MÍDIA KIT,,,,,,,,,,,,,,,,,,,,,,,,
Nome,Categoria,Gravadora ,Spotify,,,,,,,,,,,Youtube,,,,,,Youtube + Spotify,Instagram,,MÉDIA NO SPOTIFY,MÉDIA NO YOUTUBE
,,,,,,Charts,,,,Streams ,,,,,,,,,,,,,,
,,,Qtd de músicas,Ouvintes Mensais,Seguidores ,Músicas no TOP200 BR,Playlists Regionais,Streams Rap (posição),Ouvintes Rap (posição),Total Streams,Últimos 30 dias ,Média Diária ,Top 5 musicas ,Inscritos,Youtube Views,Youtube Feats,Youtube Music,Youtube Total,Top 5,Total Plays,,Seguidores,,
Mainstreet,Gravadora ,Mainstreet ,59,7.989.401,800951,CONFISSÕES PT1,Viral Rio de Janeiro BR,7,67,2839088679,,,INEFÁVEL (feat. Leviano) - Jordan - Sem Compaixão - Sem Compaixão - Me Sinto Oruam,184.000,2397196306,0,895035729,2.296.446.555,Sem Compaixão - Jordan - Matéria - Papo Reto - Vetin,5.854.261.493,,1148908,,
Orochi,Aritsta ,Mainstreet ,163,"10,381,782 ",5918156,"Rolé na Favela de Nave, Mesma História, 10 Carros",Viral Rio de Janeiro BR - Viral São Paulo BR - Viral Vitória BR,6,16,3112464319,,,Vida Louca - Sereia - 212 - Saturno - Marília Mendonça,4.070.000,1965173904,2001714867,672180297,3.828.819.982,A Cara do Crime (Nós Incomoda) - 212 - Saturno - Vida Louca - Deus É o Meu Guia,7.417.319.311,,8329283,,
Poze,Aritsta ,Mainstreet ,131,7.241.395,5.347.630,Mesma História,Viral Rio de Janeiro BR - Viral Vitória BR,23,22,1.725.916.541,,,Poesia Acústica #6: Era uma Vez - Amor de Fim de Noite - Sereia - Meu Mundo - Poesia Acústica 10: Recomeçar,3.740.000,1.111.910.666,1.355.290.412,495.771.361,2.467.201.078,Poesia Acústica #6: Era uma Vez - Mitsubishi - Amor de Fim de Noite - Acende o Isqueiro - Celebridade,4.688.888.980,,14967289,16.685.151,20.513.445
Bin,Aritsta ,Mainstreet ,48,3.917.724,6.168.105,Diz Aí Qual é o Plano?,Viral Rio de Janeiro BR,35,25,1.222.336.444,,,Vida Louca - A Cara do Crime (Nós Incomoda) - Me Sinto Abençoado - Poesia Acústica 11: Nada Mudou - ESSÊNCIA DE CRIA,4.190.000,505.347.790,351.124.592,253.134.891,856.472.382,A Cara do Crime (Nós Incomoda) - Vida Louca - Me Sinto Abençoado - Poesia Acústica 11: Nada Mudou - ESSÊNCIA DE CRIA,2.331.943.717,,2240813,23.143.427,33.869.569
Borges,Aritsta ,Mainstreet ,71,"6,081,543 ",1456645,,Viral Vitória BR,30,43,1292930366,,,Saturno - Marília Mendonça - Poesia Acústica 12 - Apê 1001 - Quase uma Semana,1.860.000,273855866,615304133,187237725,857.075.450,Saturno - Pedaço de Mim - Marília Mendonça - Apê 1001 - Poesia Acústica 12 - Pra Sempre,2.250.087.515,,3442149,12.837.593,9.855.246
Chefin,Aritsta ,Mainstreet ,74,"5,984,412 ",3213723,"Tenho Que Me Decidir, Loucura",Viral Rio de Janeiro BR - Viral Vitória BR,67,28,1213956468,,,Poesia Acústica 12 - Tenho Que Me Decidir - Loucura - Quase uma Semana - Iphone Branco,1.040.000,15620516,1270882080,278206219,1.202.181.283,Poesia Acústica 12 - Pra Sempre - Iphone Branco - Met Gala! - Mirante - Loucura,2.597.013.258,,6769572,10.850.550,10.762.335
Oruam,Aritsta ,Mainstreet ,48,"7,635,796 ",3650404,"Melhor Vibe, 10 Carros",Viral Rio de Janeiro BR - Viral Belo Horizonte BR - Viral Vitória BR - Viral Rio Grande do Sul BR - Viral Florianópolis BR - Viral Manaus BR,43,20,1437761796,,,212 - Poesia Acústica 13 - 10 Carros - Tropa do Mais Novo - Assault (Carro Forte),334.000,0,1812652740,295411865,1.704.415.973,212 - Deus É o Meu Guia - Tropa do Mais Novo - 10 Carros - Assault (Carro Forte),3.300.854.519,,8461193,16.587.942,19.747.739
Bielzin,Aritsta ,Mainstreet ,37,"2,237,708 ",490375,"Diz Aí Qual é o Plano?, Rolé na Favela de Nave",Viral Rio de Janeiro BR - Viral São Paulo BR - Viral Vitória BR - Viral Rio Grande do Sul BR,76,11,627156007,,,Sereia - Poesia Acústica 13 - Horas Iguais - Diz Aí Qual é o Plano? - Rolé na Favela de Nave,,0,806040598,238973344,778.768.434,Horas Iguais - Papo de Agustinho - Predestinado - Sereia - Assault (Carro Forte),1.620.096.139,,853218,24.476.402,38.034.253
Dfideliz,Aritsta ,Mainstreet ,36,"2,775,775 ",852406,,Viral São Paulo BR,122,73,913537255,,,A Cara do Crime (Nós Incomoda) - ESSÊNCIA DE CRIA - A Cara do Crime 3 (Brinde à Liberdade) - A Cara do Crime 2 (Cansou de Playboy) - Assault (Carro Forte),,229267270,561295379,105642775,528.531.784,A Cara do Crime (Nós Incomoda) - ESSÊNCIA DE CRIA - A Cara do Crime 2 (Cansou de Playboy) - A Cara do Crime 3 (Brinde à Liberdade) - A Cara do Crime 4 (Acendo a Flor),1.502.146.589,,2113096,,
PL Quest,Aritsta ,Mainstreet ,149,"1,355,181 ",204608,CONFISSÕES PT1,Viral Rio de Janeiro BR,89,60,458737151,,,Plaqtudum - Revoada do Tubarão - Sessão do Descarrego - Berenice (Papasessions #6) [feat. CALIFFA] - Berenice (Papasessions #6) [feat. CALIFFA],1.030.000,5886431,530156279,23859203,515.232.836,"Revoada do Tubarão - Berenice (Papasessions #6) (feat. CALIFFA) - Preto e Dinheiro - Sessão do Descarrego - Obrigado, mãe Pt2",979.328.138,,286669,,
Raffe,Aritsta ,Mainstreet ,54,1.204.927,201.439,,Viral Rio de Janeiro BR,28,91,158.937.199,,,A Cara do Crime (Nós Incomoda) - Fragrância - Tanto Faz - Rolex - Assault (Angra),32.100,556.847,308.772.205,36.825.025,309.329.052,Rolex - Champagne - Assault (Angra) - Jogos e Apostas - Ta em Cima da Hora,505.091.276,,360659,,
Azevedo,Aritsta ,Mainstreet ,72,"1,638,698 ",86038,,Viral Rio de Janeiro BR,48,111,181446293,,,INVEJOSO - Mal Sei Falar de Amor - Desde Menorzin - Tropa do Mantém - Carro Bicho 2,13.100,44883631,129830865,16444269,168.655.778,Mal Sei Falar de Amor - INVEJOSO - Tropa do Mantém - Desde Menorzin - Carro Bicho 2,350.644.527,,181317,,
Leviano,Aritsta ,Mainstreet ,41,"2,640,313 ",311532,,Viral Rio de Janeiro BR - Viral São Paulo BR - Viral Vitória BR,92,83,331827972,,,De Marola - Assault (Rio) - Vizão de Cria - Assault (Crime Perfeito) - Ego,37.100,69536350,32857407,29805704,94.947.582,De Marola - Goles Perdidos - XRE - Ela Tem - O Que Que Tem?,436.281.098,,460961,,
Ajaxx,Produtor ,Mainstreet ,96,"4,924,914 ",84543,,,4,32,1415178892,,,Freio da Blazer - Me Sinto Abençoado - Saturno - MINHA CURA - Quase uma Semana,,0,51546442,12430130,50.523.995,Não Vou Falhar - Outro Lugar - Sodoma e Gomorra - Chumbada - Diferenciado,1.417.561.128,,86166,,
Kizzy,Produtor ,Mainstreet ,44,"3,668,568 ",40914,Loucura,Viral Rio de Janeiro BR,155,42,903928268,,,Sereia - Mitsubishi - Loucura - Acende o Isqueiro - Na Onda,,0,492726670,47453100,460.908.959,Sereia - Loucura - Balão 2 - Cicatrizes - Amém,1.340.833.638,,61236,,
jess beat,Produtor ,Mainstreet ,50,1.647.631,9.378,,,156,88,239.046.613,,,Vermelho Ferrari - Frio e Calculista - Cicatrizes - To de Pé - Marta 10,3.630,112.951,155.140.463,39.772.481,155.253.414,Vermelho Ferrari - Assault - Frio e Calculista - Feiticeira - Até de Manhã,434.072.508,,31862,,
RUXN,Produtor ,Mainstreet ,47,"2,312,337 ",15900,Loucura,Viral Rio de Janeiro BR,153,50,331026501,,,Loucura - Vida Rasa - Jordan - Pixadão - Droga e Festa,,0,128308512,26524634,115.261.524,Loucura - Distante de Tudo - Vida Rasa - Jogos e Apostas - Jogador,438.582.173,,17927,,
MC Cabelinho,Aritsta ,Bairro 13,180,"9,369,664 ",8120315,"Vamo Marolar, Loucura, Carta Aberta",Viral Rio de Janeiro BR - Viral São Paulo BR - BH - DF - Viral Vitória BR - Viral Rio Grande do Sul BR - Viral Curitiba BR - Viral Florianópolis BR - Viral Rio Branco BR - Viral Cuiabá BR - Viral Porto Alegre BR,157,8,4011137471,,,Poesia Acústica #6: Era uma Vez - X1 - Poesia Acústica 13 - FOGO E GASOLINA - NÉ SEGREDO,3.620.000,1969654909,2639415189,834660800,4.408.103.553,A Cara do Crime (Nós Incomoda) - Poesia Acústica #6: Era uma Vez - X1 - MINHA CURA - ESSÊNCIA DE CRIA,8.982.332.105,,14016328,,
Brutos,Aritsta ,Bairro 13,19,"302,726 ",3512,,,165,152,49626644,,,VALHO NADA - Buscando o Melhor - De Lacoste - Eu Só Quero Você - Contando Malote,2.880,127740,67310651,12178208,63.704.915,VALHO NADA - Buscando o Melhor - De Lacoste - Ppg e Cruzada - Contando Malote,122.496.082,,39172,,
A.R,Aritsta ,Bairro 13,2,"298,484 ",52433920,,,149,153,49397397,,,VALHO NADA - Buscando o Melhor,,0,67310651,12136598,63.577.562,VALHO NADA,122.102.985,,13733,,
Vinicin,Aritsta ,Bairro 13,5,"461,024 ",10534,,,179,148,50332420,,,VALHO NADA - Malandrex - Eu Até Tentei - Bandida - Te Vi De Legging,,0,68320418,12309931,64.504.612,VALHO NADA - Malandrex - Eu Até Tentei - Te Vi De Legging,124.002.051,,31752,,
Mano R7,Aritsta ,Bairro 13,16,21.694,2.926,,,198,200,1.613.734,,,Desculpa - Ak te da bom dia - Rio de Janeiro - Na Relíkia - Quanto tempo tem,1.600,1.402.636,6.036,280.600,1.408.672,Desculpa - Verdades - OLHAR - Rio de Janeiro - Papo Reto,3.303.006,,22964,,
Amorim,Aritsta ,Bairro 13,2,"298,484 ",419,,,178,154,49397397,,,VALHO NADA - Buscando o Melhor,,0,67310651,12158754,63.577.562,VALHO NADA - Buscando o Melhor,122.124.827,,18403,,
Budy ,Aritsta ,A Matilha ,11,179.743,1.326.060,,,190,172,85.630.976,,,Dia de Caça - Assault (Angra) - Fiquei Rico Cedo - Os Novos Donos - Reunião de Negócios,299.000,47.871.788,38.248.229,3.924.160,86.120.017,Assault (Angra) - Reunião de Negócios II - Reunião de Negócios - Viagem - Fala pra Mim,175.675.153,,348663,,
MVK,Aritsta ,A Matilha ,13,588.243,29.760,,,189,165,27.805.318,,,O Tempo É Professor - Exibido - Ei Amor - Ei Amor - Drill 23,37.770,0,32.954.535,4.802.022,32.954.535,Exibido - Ei Amor - Ei Amor (Remix) - Drill 23 - Cidade Profana - Blogueira,65.561.875,,206242,,
Pedrin ,Aritsta ,A Matilha ,18,150.318,104.628,,,194,179,33.577.446,,,12 - Pouca Idade - V8 - Proibidão 2022 - Rocket,49.700,2.887.724,23.246.383,5.655.006,26.134.107,Pouca Idade - 12 - 15771 - Rocket - Liberdade,65.366.559,,128565,,
Filhão,Aritsta ,A Matilha ,17,463.669,3.905,,,195,193,3.825.326,,,Sem Sentimento - Acelero - Altura Que Nois Tá - Tropa do Poze Tropa do Sábio 10 Minutinhos 2+1 - Mina Perversa,,92.384,4.217.615,1.122.055,4.309.999,"Sem Sentimento - Altura Que Nois Tá - Na Pista - Que Beat É Esse, Beat Diferente - Ui Piranha Agacha e Mama",9.257.380,,412777,,
Shenlong,Aritsta ,A Matilha ,10,"707,096 ",32007,,,78,139,59601784,,,Assault (Rio) - Assault Monopólio - Festa na Mainstreet - Vivência de Trap - Neuroses,,0,102528290,20962634,100.067.220,Assault (Rio) - Assault - Festa na Mainstreet - Neuroses - Vivência de Trap,176.493.434,,104321,,
DEGE,Aritsta ,A Matilha ,16,"96,095 ",989515,,,91,185,18731912,,,12 - Proibidão 2022 - Quebra Osso - Reconstruir - Pitaya,1.220,39144,242505,131906,273.070,Fases - Joga Pra Raul - Pequenos Valores - Eu Odeio Flash - Joga Essa Nota,18.419.957,,87018,,
Hashi,Aritsta ,A Matilha ,12,"33,365 ",669,,,101,196,2220476,,,Acelero - Cristo Redentor - Dá Pra Virar - Confia - Frio na Barriga,,0,752334,245543,708.645,Dá Pra Virar - Acelero - Poder Bélico (Paz no CPX) - Cristo Redentor - Traçantes De Parafal,3.004.172,,41645,,
Benny,Aritsta ,A Matilha ,12,14.379,19.130,,,97,201,4.915.403,,,Falta Bem Menos do Que Ontem - Deus É Bom - Postura É Lixo - Verão 021 - Sem Spoiler,9.860,36.313,8.327.307,1.124.662,8.363.620,Falta Bem Menos do Que Ontem - Deus É Bom - Postura É Lixo - Meu Dinheiro - Verão 021,14.403.685,,25036,,
Feek ,Aritsta ,A Matilha ,20,232.627,19.997,,,90,166,19.160.944,,,Maridão (feat. Borges & Orochi) - Vivência de Trap - XRE - Floripa - Camuflado,865,13.814,8.178.140,1.043.956,8.191.954,Maridão - Quebra Osso - Acelero - Poder Bélico (Paz no CPX) - Joga Pra Raul,28.396.854,,19731,,
Oliveira ,Aritsta ,A Matilha ,8,73.719,1.075,,,96,196,5.321.931,,,Duas Doses - Drill 23 - Acelero - Te Ver Voltando - Fetiche,,0,461.164,334.994,461.164,Duas Doses - Acelero - Poder Bélico (Paz no CPX) - Boca - Traçantes De Parafal,6.118.089,,30182,,
Pior versão de mim ,Aritsta ,A Matilha ,48,109.687,18.442,,,92,182,17.599.900,,,"Gasolina - Proibidão 2022 - Oi Oi, Reflexo de Bolinha - Vulgo Malvadão - Na arte do 157 Remix",2.250,1.243.424,1.451.861,2.110.361,2.695.285,"Oi Oi, Reflexo de Bolinha - Gasolina - Meia Noite - Pitaya - Vulgo Malvadão",22.405.546,,20293,,
Oreozin ,Aritsta ,A Matilha ,10,87.376,1.216,,,95,183,5.673.821,,,Diamante - Acelero - Baw Baw - Partiu Bailão - Joga Pra Raul,97,20.068,1.274.788,776.846,1.294.856,Diamante - Produto - Acelero - Poder Bélico (Paz no CPX) - Partiu Bailão,7.745.523,,14576,,
Peziinho,Aritsta ,A Matilha ,4,"37,255 ",297,,,99,194,3424305,,,Set do Nemo 1 (Invicto) - Sem Stress - MINHA BITCH - Me Avista,,0,51325,20542,49.244,MINHA BITCH - AR 15 - Sem Stress - Me Avista,3.249.820,,14515,,
Grone,Aritsta ,A Matilha ,19,"41,368 ",1578,,,100,195,3320079,,,Ouro e fuzil - Bota a Cara no Beco - Rival - Novo Artigo 157 - Mundo De Ilusões,6,107784,1913121,120417,1.970.246,Ouro e fuzil - Rival - Boca - Ak 47 - Velório,5.201.265,,5970,,
VT no Beat,Produtor ,A Matilha ,34,161.444,2.516,,,93,175,13.991.088,,,Gasolina - Proibidão 2022 - Nós É Só Menorzin - Federal - Quem Diria,591,25.480,96.114.208,1.663.885,96.139.688,Gasolina - Nós É Só Menorzin - Linha Amarela - Federal - Quem Diria,111.794.661,,6454,,
